episode,timestep,reward
11359,334000,77.193
11423,336000,79.2314
11488,338000,78.9047
11553,340000,76.6816
11619,342000,76.6674
11683,344000,78.8177
11746,346000,79.1451
11811,348000,75.5635
11875,350000,77.4963
11938,352000,82.5778
12004,354000,77.4561
12068,356000,78.1681
12131,358000,79.3658
12195,360000,79.9657
12259,362000,79.2422
12325,364000,78.4545
12389,366000,79.6919
12454,368000,79.882
12517,370000,79.7795
12581,372000,82.0011
12644,374000,81.6456
12706,376000,81.6358
12769,378000,81.4014
12831,380000,79.8874
12895,382000,79.5208
12958,384000,78.6101
13022,386000,80.1951
13086,388000,79.9255
13151,390000,78.5365
13214,392000,80.8264
13279,394000,80.1313
13342,396000,79.8511
13407,398000,78.3541
13472,400000,78.9496
13536,402000,80.7969
13599,404000,82.2888
13661,406000,83.5528
13725,408000,82.0795
13788,410000,81.01
13852,412000,81.7684
13915,414000,84.6082
13978,416000,81.9884
14040,418000,83.0654
14103,420000,83.116
14166,422000,81.5278
14229,424000,81.9089
14290,426000,85.0967
14354,428000,80.5149
14419,430000,80.0732
14482,432000,82.8898
14545,434000,81.8456
14607,436000,84.3201
14669,438000,83.0914
14732,440000,84.7077
14796,442000,82.3213
14857,444000,85.8348
14918,446000,84.9774
14979,448000,86.7424
15040,450000,84.3061
15102,452000,83.6823
15165,454000,83.3575
15226,456000,88.55
15288,458000,84.4798
15351,460000,82.8068
15413,462000,84.6604
15474,464000,86.1244
15535,466000,85.281
15595,468000,86.8551
15657,470000,86.1163
15719,472000,83.0522
15781,474000,85.3522
15842,476000,85.7729
15903,478000,85.3926
15964,480000,86.5059
16025,482000,88.4105
16086,484000,86.6729
16146,486000,86.7384
16207,488000,87.9832
16268,490000,85.6836
16329,492000,85.8349
16388,494000,88.2301
16450,496000,84.6978
16512,498000,85.5937
16573,500000,87.7613
16635,502000,85.7708
16695,504000,88.2967
16756,506000,85.6951
16818,508000,84.3285
16881,510000,83.2908
16941,512000,89.4834
17001,514000,88.6017
17063,516000,83.013
17125,518000,87.932
17188,520000,84.481
17251,522000,86.1994
17313,524000,86.0593
17374,526000,86.8659
17435,528000,87.4519
17496,530000,89.0247
17557,532000,88.1926
17617,534000,88.7355
17678,536000,87.9354
17738,538000,88.3329
17798,540000,91.1161
17857,542000,89.3838
17917,544000,89.0562
17978,546000,86.9349
18036,548000,92.0132
18095,550000,88.8137
18155,552000,89.8381
18215,554000,88.4022
18277,556000,86.7284
18336,558000,90.8085
18395,560000,87.8465
18454,562000,91.943
18512,564000,91.6874
18573,566000,88.7521
18633,568000,88.5789
18693,570000,89.0596
18753,572000,89.0682
18812,574000,91.8808
18871,576000,90.8852
18928,578000,92.4376
18989,580000,86.8848
19049,582000,89.5218
19106,584000,92.9847
19164,586000,92.5337
19223,588000,90.5039
19284,590000,88.1707
19338,592000,96.0338
19395,594000,95.5036
19455,596000,88.4818
19515,598000,88.7657
19573,600000,92.7133
19630,602000,91.9114
19687,604000,92.9087
19743,606000,93.3818
19800,608000,93.5918
19857,610000,95.2348
19917,612000,87.4613
19973,614000,95.513
20030,616000,92.3992
20088,618000,92.0311
20143,620000,94.1818
20199,622000,92.2949
20255,624000,96.3199
20313,626000,89.4649
20371,628000,91.5954
20428,630000,94.0578
20485,632000,91.6504
20542,634000,93.0301
20600,636000,95.6994
20657,638000,93.6529
20713,640000,92.8003
20770,642000,94.1005
20826,644000,94.8201
20882,646000,98.044
20937,648000,95.898
20992,650000,95.8572
21047,652000,97.5653
21101,654000,95.5415
21158,656000,93.1903
21213,658000,97.785
21270,660000,92.7835
21326,662000,94.9007
21382,664000,96.351
21440,666000,94.3477
21495,668000,96.5991
21550,670000,98.359
21606,672000,97.6317
21663,674000,95.8738
21721,676000,93.5321
21776,678000,96.33
21832,680000,95.8153
21890,682000,93.4501
21946,684000,96.2492
22004,686000,93.9561
22060,688000,95.1451
22115,690000,98.3156
22172,692000,93.595
22229,694000,96.0077
22287,696000,90.7098
22345,698000,92.8026
22400,700000,98.691
22458,702000,93.0205
22513,704000,97.0053
22567,706000,100.8289
22624,708000,97.5881
22682,710000,89.9398
22736,712000,100.0264
22792,714000,95.2647
22847,716000,98.16
22903,718000,97.2949
22958,720000,99.9008
23013,722000,100.3228
23070,724000,94.2475
23127,726000,95.2026
23184,728000,95.1495
23239,730000,97.6573
23294,732000,97.434
23349,734000,98.602
23404,736000,98.8665
23460,738000,96.6604
23516,740000,97.4917
23573,742000,95.4087
23629,744000,94.7979
23683,746000,100.4904
23740,748000,95.7191
23795,750000,100.1751
23852,752000,96.0553
23906,754000,100.0039
23963,756000,96.4395
24018,758000,97.5307
24076,760000,95.7594
24132,762000,97.3575
24188,764000,97.0379
24242,766000,99.2842
24297,768000,100.5325
24352,770000,97.2529
24409,772000,95.3129
24465,774000,96.7599
24517,776000,102.5686
24571,778000,99.7107
24627,780000,97.2351
24681,782000,98.8624
24737,784000,98.0499
24790,786000,101.9489
24842,788000,103.5562
24898,790000,96.4111
24952,792000,99.4955
25005,794000,101.0383
25059,796000,100.2244
25113,798000,101.1878
25167,800000,100.5195
25220,802000,100.0368
25273,804000,104.4411
25326,806000,100.6263
25380,808000,102.3698
25436,810000,95.6328
25489,812000,103.3607
25543,814000,101.1375
25595,816000,104.2133
25649,818000,98.6419
25700,820000,107.4687
25752,822000,104.2582
25804,824000,105.097
25857,826000,101.4285
25911,828000,99.3942
25964,830000,100.0054
26018,832000,99.9528
26071,834000,101.0911
26123,836000,103.8145
26176,838000,98.8133
26231,840000,99.8368
26284,842000,100.8295
26338,844000,99.8627
26390,846000,104.4574
26440,848000,106.9081
26493,850000,98.6429
26545,852000,103.182
26596,854000,104.6173
26648,856000,105.2884
26701,858000,101.4524
26753,860000,103.0516
26806,862000,103.5593
26858,864000,102.9702
26909,866000,104.2056
26960,868000,107.0822
27011,870000,103.9129
27062,872000,105.8646
27114,874000,104.2984
27164,876000,107.1844
27217,878000,102.6144
27266,880000,110.6385
27320,882000,99.0355
27371,884000,103.9698
27420,886000,107.2627
27469,888000,108.2549
27519,890000,108.0966
27571,892000,104.4892
27623,894000,105.7028
27675,896000,102.9155
27726,898000,103.1172
27778,900000,101.8632
27829,902000,108.8807
27881,904000,103.4146
27933,906000,104.9481
27984,908000,106.7516
28035,910000,106.1812
28087,912000,106.4231
28137,914000,109.343
28188,916000,106.3065
28242,918000,99.3358
28292,920000,109.2231
28341,922000,109.6499
28389,924000,114.8503
28441,926000,101.8137
28490,928000,110.611
28541,930000,107.6283
28591,932000,107.6043
28641,934000,109.7311
28693,936000,104.3916
28746,938000,104.2952
28796,940000,109.702
28847,942000,107.2359
28900,944000,102.3469
28951,946000,106.3398
29002,948000,106.5571
29052,950000,108.4694
29100,952000,111.6318
29149,954000,114.5431
29199,956000,108.5355
29251,958000,105.1458
29300,960000,113.3687
29350,962000,108.0057
29401,964000,105.346
29450,966000,111.3529
29499,968000,110.8768
29546,970000,116.0237
29598,972000,104.5046
29647,974000,115.1181
29695,976000,111.026
29746,978000,110.4253
29796,980000,109.8031
29847,982000,106.4804
29898,984000,107.1577
29946,986000,116.5575
29998,988000,104.3914
30046,990000,111.5038
30095,992000,112.9763
30145,994000,108.3683
30194,996000,111.4996
30242,998000,114.3506
30294,1000000,104.7072
